dfc_start,dfc_end,orig_start,orig_end,fst,se,sites_available,sites_used,n1_eff_indiv_Bana,n1_eff_seq_Bana,n2_eff_indiv_Nagare,n2_eff_seq_Nagare,coverage_frac_pop1,coverage_frac_pop2,mean_ref_af_pop1,mean_alt_af_pop1,mean_other_af_pop1,mean_ref_af_pop2,mean_alt_af_pop2,mean_other_af_pop2
1,1000000,52200684,53200683,5.411490483483842e-05,0.0009917069455266,3224,3224,95.8,191.5,99.8,199.5,0.9975315343258891,0.9975062034739454,0.996444106835793,0.0010874274900962,0.0024684656741108136,0.9964500463694012,0.0010561571045442,0.0024937965260546455
1000001,2000000,51200684,52200683,0.0,0.0004042414385565,15072,15072,95.6,191.1,99.6,199.1,0.9952500184011607,0.9953063443618776,0.9934766954781044,0.0017733229230563,0.004749981598839346,0.9935489314589632,0.0017574129029144,0.0046936556381224305
2000001,3000000,50200684,51200683,0.0010374047457838,0.000473555978296,9336,9336,95.2,190.3,99.1,198.2,0.9912033278712348,0.9911793059125964,0.98712678857106,0.0040765393001748,0.008796672128765247,0.987068253055518,0.0041110528570784,0.008820694087403559
3000001,4000000,49200684,50200683,0.0,0.0002471062280827,12390,12390,95.2,190.3,99.2,198.3,0.9912785875447381,0.9913844905878803,0.9876347364742804,0.0036438510704577,0.00872141245526195,0.9878120169719944,0.0035724736158859,0.00861550941211971
4000001,5000000,48200684,49200683,0.0,0.0003361620227442,13492,13490,95.1,190.2,99.0,198.1,0.9905623473282539,0.9905923198434868,0.9866867209622496,0.0038756263660042,0.00943765267174617,0.9867079487636432,0.0038843710798436,0.009407680156513195
5000001,6000000,47200684,48200683,0.0,0.000253455098678,17953,17953,95.2,190.4,99.2,198.4,0.9918565823563356,0.9917627086888492,0.9883700450185892,0.0034865373377464,0.00814341764366444,0.9882481892898776,0.0035145193989716,0.008237291311150835
6000001,7000000,46200684,47200683,0.0,0.0003414584361182,7620,7620,94.9,189.8,98.8,197.7,0.9886933332574049,0.9887278626156579,0.9841293052183634,0.0045640280390415,0.011306666742595107,0.9841848670431348,0.0045429955725231,0.011272137384342108
7000001,8000000,45200684,46200683,0.0005967721523253,0.000426256527032,13193,13193,95.2,190.4,99.2,198.3,0.9914738643080404,0.9915003939187217,0.9869483922568348,0.0045254720512056,0.008526135691959561,0.9869821614921288,0.0045182324265929,0.008499606081278293
8000001,9000000,44200684,45200683,5.381170946975349e-05,0.0003266141862682,8526,8526,94.5,189.0,98.4,196.9,0.9845526086705587,0.9846836458337412,0.9789816499108824,0.0055709587596763,0.015447391329441265,0.9791955010474372,0.005488144786304,0.015316354166258756
9000001,10000000,43200684,44200683,0.0,0.0002250905234498,19783,19782,94.7,189.4,98.6,197.3,0.986671747334699,0.9867036334357916,0.9812550505704116,0.0054166967642874,0.013328252665300976,0.9812834137564722,0.0054202196793194,0.013296366564208389
10000001,11000000,42200684,43200683,0.0,0.0003855365032796,6263,6263,94.7,189.4,98.6,197.2,0.9862912335324978,0.9860565014668479,0.9792857085332682,0.0070055249992296,0.01370876646750216,0.9790070995763156,0.0070494018905323,0.013943498533152101
11000001,12000000,41200684,42200683,0.0,0.0003264447562933,7281,7281,94.8,189.6,98.8,197.5,0.9873797564316643,0.9873581162538724,0.982146933693656,0.0052328227380083,0.012620243568335679,0.9822008017184308,0.0051573145354415,0.012641883746127673
12000001,13000000,40200684,41200683,0.0078842454368565,0.0081544804650228,345,345,95.6,191.1,99.5,199.0,0.9953626332830225,0.9949931166142346,0.9939432299527728,0.0014194033302497,0.004637366716977455,0.9935868803384332,0.0014062362758014,0.005006883385765369
13000001,14000000,39200684,40200683,0.0,0.0005164631382364,1109,1109,94.8,189.7,98.8,197.6,0.988000093865354,0.9881915184304724,0.9842484223491852,0.0037516715161688,0.011999906134646007,0.984448360976765,0.0037431574537074,0.011808481569527575
14000001,15000000,38200684,39200683,0.0,0.0005183836915686,5452,5452,94.8,189.5,98.6,197.3,0.9867995287420679,0.9866910762059331,0.9817037694968498,0.0050957592452181,0.013200471257932112,0.9814946512076006,0.0051964249983325,0.013308923794066901
