dfc_start,dfc_end,orig_start,orig_end,fst,se,sites_available,sites_used,n1_eff_indiv_Bana,n1_eff_seq_Bana,n2_eff_indiv_Nagare,n2_eff_seq_Nagare,coverage_frac_pop1,coverage_frac_pop2,mean_ref_af_pop1,mean_alt_af_pop1,mean_other_af_pop1,mean_ref_af_pop2,mean_alt_af_pop2,mean_other_af_pop2
1,1000000,23393108,24393107,0.0,0.0007666219694213,2648,2648,96.0,191.9,100.0,199.9,0.9994469924338790,0.9994616482040950,0.9988686839687720,0.0005783084651068,0.0005530075661208250,0.9988722909618260,0.0005893572422689,0.0005383517959047080
1000001,2000000,22393108,23393107,0.0,0.0005838343136982,1016,1016,95.8,191.7,99.8,199.7,0.9985543799212600,0.9985482283464570,0.9979904855643040,0.0005638943569553,0.0014456200787403400,0.9980561023622050,0.0004921259842519,0.0014517716535433300
2000001,3000000,21393108,22393107,0.0027246823450018,0.0019893879232776,1390,1390,96.0,191.9,100.0,199.9,0.9995540672724980,0.9996582733812950,0.9990781585258110,0.0004759087466868,0.00044593272750236700,0.9992086330935250,0.0004496402877697,0.0003417266187051550
3000001,4000000,20393108,21393107,0.0026990743006791,0.0018684743877541,1099,1099,95.9,191.8,99.8,199.7,0.9987583409159840,0.9987124658780710,0.9977543879603470,0.0010039529556375,0.0012416590840157300,0.9976797088262060,0.0010327570518653,0.0012875341219291000
4000001,5000000,19393108,20393107,0.0002281286078706,0.0012431838515911,8517,8517,95.8,191.7,99.8,199.7,0.9982223053892220,0.9982599325303310,0.997205344213534,0.0010169611756878,0.0017776946107781800,0.9972061458671740,0.0010537866631561,0.0017400674696695200
5000001,6000000,18393108,19393107,0.0,0.0006533658076624,12915,12915,95.7,191.4,99.6,199.3,0.9966306136275650,0.9966713085168370,0.995578058459156,0.0010525551684088,0.0033693863724351700,0.9955934646503750,0.0010778438664617,0.003328691483163060
6000001,7000000,17393108,18393107,0.0,0.0004515017334218,9075,9075,95.6,191.1,99.6,199.1,0.9954734848484850,0.9953965717783900,0.9942647520115490,0.0012087328369354,0.004526515151515200,0.9941634345081220,0.0012331372702683,0.004603428221610090
7000001,8000000,16393108,17393107,0.0001426918319625,0.000412065977498,11738,11738,95.5,191.0,99.4,198.9,0.9948424851103740,0.9947127599781370,0.9932264730129120,0.0016160120974612,0.005157514889626350,0.9930684888463040,0.0016442711318328,0.005287240021862810
8000001,9000000,15393108,16393107,0.0,0.0004012571883956,10266,10266,95.4,190.7,99.4,198.7,0.9934132236030370,0.9932621651691280,0.9913209611184600,0.0020922624845769,0.006586776396963520,0.9911449474933650,0.0021172176757624,0.006737834830872360
9000001,10000000,14393108,15393107,0.0,0.0003885044490684,9142,9142,95.4,190.8,99.4,198.7,0.9936384678196260,0.9936211988623930,0.9914153504454090,0.0022231173742165,0.0063615321803743200,0.9913995843360320,0.0022216145263618,0.006378801137606610
10000001,11000000,13393108,14393107,0.0,0.0002502581482807,13560,13559,95.2,190.5,99.2,198.5,0.9923300226602850,0.9923142899952710,0.9901943911899110,0.0021356314703733,0.0076699773397155500,0.99015092701443,0.0021633629808408,0.007685710004729230
11000001,12000000,12393108,13393107,0.0002955558876852,0.0003834923595873,10592,10592,95.2,190.5,99.2,198.4,0.992103208664035,0.992052187945006,0.9892576034242140,0.0028456052398214,0.00789679133596495,0.9891810798647060,0.0028711080802999,0.007947812054993940
